Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Ecuador,33.65485953,34.03539833,35.25290294,34.19574995,31.83585662,31.31307882,28.03374593,28.40553806,29.28189425,26.25217999,26.02927792,25.25878165,25.83565188,25.37549905,24.09384278,22.35518223,20.11773009,18.70307224,18.20012391,16.02256886,16.11089455,15.76643949,15.92606537,16.90084513,18.61334038,18.87894981,20.81149147,21.34757163,22.01080362,22.40069086,20.52100539,20.86307683,18.922117,23.40315896,22.14594596,21.91216882,20.7500581,20.10877373,17.47594546,17.57135182,15.40454427,12.65726659,11.23092289,10.84329972,9.691921337,9.481169299,9.408136106,9.355655707,8.965682892,9.913941346,9.733118078,9.601116667,8.642412749,8.769342903,9.126508259,9.454851422,9.519016728,9.329258912,9.243899
"Egypt, ",27.64882578,27.15307948,24.62782577,24.42186213,23.1990232,25.69410726,24.88447225,24.15575193,25.38007089,25.54367995,24.10982009,22.93154013,23.74968725,26.5749312,28.80749229,27.66554856,26.01497479,24.81881631,23.39454237,20.05644264,16.58186085,21.62056567,18.04862843,19.04511278,18.10759494,17.10455764,17.39002268,19.63300893,18.04545503,18.69480494,18.5125262,16.9866672,15.58590942,15.73904639,15.71428571,15.71078431,16.11508282,15.75103422,15.88448156,15.90864759,15.53807704,15.35126847,15.40485616,15.28670659,14.26993612,13.9818013,13.23720253,13.42012621,12.63024009,12.99794665,13.34075916,13.8691051,11.27276527,11.2743496,11.33770892,11.39408323,11.76931597,11.4852853,11.22500113
France,10.53721655,9.079271295,9.832003655,8.828416465,7.98671472,7.787024679,7.593026344,7.566028254,7.322666175,6.67995657,6.627790418,6.066679982,6.776281736,6.775119084,5.412027683,4.813122149,4.559227033,4.31574247,4.170503277,4.133497401,3.60736658,3.5316725,4.0526358,3.595475564,3.358980524,3.337649088,3.234609549,3.088145442,2.849391763,3.124996866,3.136835031,2.614350946,2.592788751,2.295732756,2.400694316,2.444772231,2.404281518,2.344255815,2.362459834,2.236261411,2.098357551,2.107008191,2.010858852,1.850164289,1.822690944,1.680101704,1.518490643,1.612992953,1.515223,1.323161997,1.604028289,1.650287193,1.631795037,1.458632177,1.55635616,1.605644387,1.437114867,1.551765681,1.622122401
Gabon,32.18653896,35.211844,35.88546586,44.08357341,30.18042888,26.30630631,25.16556708,24.10181138,18.38133926,18.6215506,18.54749306,13.7963844,13.0875576,11.60769708,8.205542104,6.401386246,5.006257822,5.462184874,6.509643917,7.446478436,6.757355674,6.117198666,6.1233081,6.500037143,6.104613803,6.751082972,9.244930856,10.9925986,10.07617545,8.685885436,7.324447735,7.623666432,8.25138827,8.48423088,9.086015128,8.031674208,7.09283164,7.217522756,7.020793951,7.293625914,6.213624522,6.143932582,5.743861639,6.004020935,5.467291043,4.984638611,4.911200315,4.957830803,4.229842032,5.044169793,3.914454417,3.43228978,3.353697777,3.329080651,3.62120477,4.311629044,4.97313691,5.265764844,5.43757844
Ghana,40.85155351,35.37634409,37.89260385,35.90909091,35.35598706,43.51978172,43.28063241,40.22606383,41.76470588,45.92703648,46.52501107,44.16,46.64298401,48.986004,51.13733906,47.66231308,50.56696292,56.20352952,60.71190317,59.96740132,57.92028377,53.08429488,57.34115279,59.73059912,49.24286945,44.89255148,47.77538996,50.60053619,49.61301223,48.96748127,44.84761747,45.51047588,44.77905722,36.93086439,37.79058598,38.7785905,38.95508303,35.78159763,36.01410731,35.77634379,35.27152196,35.24180012,35.14837706,36.5454059,37.95242609,37.45301293,28.94894567,27.29411448,29.40809676,30.99338421,28.03873796,23.66370497,22.13115469,20.45249595,19.99969979,20.24717549,20.97689131,19.69615516,18.2715344
Guyana,23.57779301,23.85436284,23.45900658,24.46067043,21.95268044,21.57241379,19.08436214,18.8337644,17.36670294,17.93020457,16.82225541,18.02871831,17.38695144,16.48573201,27.66314025,28.74947368,20.77281929,18.74277585,20.24138203,19.87029636,20.68965517,18.78522347,20.19363762,19.82288828,20.86590374,22.51282051,22.5806462,25.87050285,22.61962355,35.06292653,38.12958971,40.5225068,43.79466769,36.67884446,37.95034786,40.85826436,37.76895871,36.35332438,33.90585331,35.01394943,29.9832313,29.73738379,30.88166411,32.11281097,31.49373198,28.88586973,24.35446396,21.19387745,23.61334549,20.85716936,16.38828282,16.39508024,16.45325454,16.58429112,16.32841604,17.07430486,13.25891642,13.20683784,12.72802648
Honduras,33.81498585,35.26108928,35.39651838,34.41004388,34.48577681,36.43959501,36.16692427,35.37033941,34.63203463,32.72454845,29.32226833,28.24897401,28.01992702,28.00000153,26.58289029,24.64412811,25.51928878,26.89428053,39.38804109,36.24857695,34.96059742,32.93800729,29.78046693,28.29657499,25.71563115,24.83813537,24.68967311,23.61302338,25.20989902,24.56612375,24.19137326,23.95993673,22.68459407,21.28719456,21.11651483,20.54077297,20.2545671,18.91812217,18.3139578,13.61819036,14.37252354,13.16599066,12.18341274,11.61409852,12.17070415,12.47092476,11.85657915,11.91104744,12.15017021,10.82504149,11.59122044,14.2196558,13.56629403,12.19112794,12.53835013,12.21597845,12.04990141,12.84493271,11.78685357
India,41.31283906,40.38740161,38.3713352,39.31975131,41.18773833,38.95214348,40.02544761,42.76762174,41.63355064,41.35834331,39.9278062,38.0997785,38.01772227,41.1620452,38.19969328,35.26950135,33.44297129,34.94772597,33.16003828,31.28095945,33.05748473,31.71514239,30.57047008,31.32414522,30.14679253,28.63528435,27.4687606,26.88407028,27.98222891,26.91794315,26.89643825,27.33321814,26.66977197,26.88180084,26.38861888,24.45685527,25.41703075,24.34535709,24.37882105,22.98896098,21.60895747,21.62050461,19.5366997,19.58060679,17.81469065,17.62020695,16.80944209,16.75011976,16.79094236,16.74427016,17.02650901,17.19197043,16.84537707,17.14842354,16.79193451,16.17450811,16.24980967,15.61945495,14.60193402
Iran,25.90060154,24.90256843,23.8274964,22.25721813,20.7660665,18.59561662,17.44181878,16.51588614,15.85361437,14.49739961,12.99091055,12.71270251,11.95440054,9.868775696,6.932824855,6.672281017,6.487048744,5.665368244,7.462283233,8.571918275,11.06046359,13.69414825,12.77417741,11.05712918,12.30788564,12.77052115,15.22802945,16.30278432,15.38501438,15.57681923,12.49086056,12.01424155,12.05433007,10.39837071,10.55156234,12.61023614,10.34647723,9.8126995,11.55505789,9.914986215,9.068419327,8.310842002,7.825546897,7.451094561,6.889578469,6.501382209,7.118211241,7.185568231,6.122772591,6.924489615,6.499390726,5.447267004,7.618363371,9.753665091,9.78225738,10.48470358,9.637366278,9.499743088,9.499743088
Kenya,35.34741353,34.07310224,37.57419488,38.44981142,36.83208018,32.41863985,34.70785829,33.65742844,31.70570223,30.89757128,30.16973422,28.16229493,32.21093542,31.8774963,31.29914208,30.17297568,33.32691593,37.00682832,32.06422309,30.18625011,27.79076135,27.87345201,28.96660109,29.86875598,29.50989774,28.60623182,28.77757743,27.17165387,25.54020406,25.9638119,25.31413336,24.32014817,24.78128722,26.80801341,28.11535668,26.34961956,27.49252178,27.6939374,27.7449136,28.74407961,28.72178064,27.84926011,25.8539676,25.80443937,24.92904109,24.2362747,20.5196878,20.58666446,22.19634016,23.36040099,24.82621749,26.30460466,26.1699503,26.44333406,27.45094081,30.19240945,31.07233103,34.82873746,34.19467913
